state,DEM,GOP,pollster,population,sample_size,start_date,end_date
MT,43,53,Mason-Dixon,lv,625,10/29/2012,10/31/2012
UT,25,70,Mason-Dixon,lv,625,10/29/2012,10/31/2012
ND,40,54,Mason-Dixon,lv,625,10/26/2012,10/28/2012
CT,49,42,Mason-Dixon,lv,625,10/15/2012,10/17/2012
WI,48,46,Mason-Dixon,lv,625,10/15/2012,10/17/2012
ID,27,63,Mason-Dixon,lv,625,10/8/2012,10/10/2012
VA,45,44,Mason-Dixon,lv,625,1/16/2012,1/18/2012
FL,46,45,Mason-Dixon,lv,800,7/9/2012,7/11/2012
MA,56,38,Mass Insight/Opinion Dynamics,rv,456,1/31/2012,2/4/2012
US,46,42,McClatchy/Marist,rv,390,6/15/2011,6/23/2011
US,44,46,McClatchy/Marist,rv,873,12/2/2010,12/8/2010
US,46,45,McClatchy/Marist,rv,532,4/10/2011,4/14/2011
US,51,38,McClatchy/Marist,rv,827,1/6/2011,1/10/2011
US,46,41,McClatchy/Marist,rv,807,8/2/2011,8/4/2011
US,48,46,McClatchy/Marist,rv,849,7/9/2012,7/11/2012
US,46,44,McClatchy/Marist,rv,846,3/20/2012,3/22/2012
US,48,44,McClatchy/Marist,rv,872,11/8/2011,11/10/2011
US,46,44,McClatchy/Marist,rv,825,9/13/2011,9/14/2011
CO,46,50,McLaughlin/ACU,lv,300,9/30/2012,10/2/2012
PA,48,40,Mercyhurst University,lv,522,9/12/2012,9/20/2012
TN,41,47,Middle Tn. State U.,lv,416,2/13/2012,2/25/2012
TN,34,59,Middle Tn. State U.,lv,609,10/16/2012,10/21/2012
MI,47,47,Mitchell Research,lv,1277,8/23/2012,8/23/2012
MI,49,44,Mitchell Research,lv,1079,8/13/2012,8/13/2012
MI,44,45,Mitchell Research,lv,825,7/23/2012,7/23/2012
MI,47,46,Mitchell Research,lv,750,6/18/2012,6/18/2012
MI,51,46,Mitchell Research,lv,1305,11/4/2012,11/4/2012
NJ,52,37,Monmouth University,lv,613,9/19/2012,9/23/2012
NJ,50,42,Monmouth University,lv,535,7/18/2012,7/22/2012
US,46,45,Monmouth/SurveyUSA/Braun,lv,1149,8/15/2012,8/19/2012
US,48,45,Monmouth/SurveyUSA/Braun,lv,1344,9/13/2012,9/16/2012
US,48,48,Monmouth/SurveyUSA/Braun,lv,1417,11/1/2012,11/4/2012
US,45,48,Monmouth/SurveyUSA/Braun,lv,1402,10/18/2012,10/21/2012
US,47,46,Monmouth/SurveyUSA/Braun,lv,1152,6/4/2012,6/6/2012
US,46,47,Monmouth/SurveyUSA/Braun,lv,1360,10/8/2012,10/10/2012
MT,35,49,Montana State U.,lv,477,9/27/2012,9/30/2012
PA,43,36,Morning Call,rv,395,2/9/2011,2/28/2011
PA,45,40,Morning Call,rv,492,3/23/2012,4/1/2012
PA,45,41,Morning Call,rv,422,11/28/2011,12/7/2011
PA,50,41,Morning Call,lv,640,9/10/2012,9/16/2012
PA,48,37,Morning Call,rv,625,2/15/2012,2/21/2012
PA,49,42,Morning Call,lv,427,9/22/2012,9/26/2012
PA,50,45,Morning Call,lv,444,10/17/2012,10/21/2012
PA,49,45,Morning Call,lv,438,10/10/2012,10/14/2012
PA,49,40,Morning Call,lv,422,8/20/2012,8/22/2012
PA,49,46,Morning Call,lv,430,11/1/2012,11/3/2012
ME,54,37,MPRC,lv,856,9/15/2012,9/17/2012
ME,55,37,MPRC,lv,993,3/31/2012,4/2/2012
ME,53,42,MPRC,lv,905,11/1/2012,11/3/2012
MI,48,42,MRG,lv,600,9/10/2012,9/15/2012
MI,49,42,MRG,lv,600,3/14/2012,3/19/2012
US,50,43,National Journal,lv,1055,9/15/2012,9/19/2012
US,47,47,National Journal,lv,789,9/27/2012,9/30/2012
US,47,39,National Journal,a,1004,4/19/2012,4/22/2012
US,50,45,National Journal,lv,713,10/25/2012,10/28/2012
FL,48,44,NBC News/Marist,rv,1078,5/17/2012,5/20/2012
OH,48,42,NBC News/Marist,rv,1103,5/17/2012,5/20/2012
VA,48,44,NBC News/Marist,rv,1076,5/17/2012,5/20/2012
FL,48,41,NBC News/Marist,rv,2119,12/4/2011,12/7/2011
CO,46,45,NBC News/Marist,rv,1030,5/22/2012,5/24/2012
IA,44,44,NBC News/Marist,rv,1106,5/22/2012,5/24/2012
NV,48,46,NBC News/Marist,rv,1040,5/22/2012,5/24/2012
OH,50,38,NBC News/Marist,rv,1573,2/29/2012,3/2/2012
VA,52,35,NBC News/Marist,rv,1273,2/29/2012,3/2/2012
SC,45,42,NBC News/Marist,rv,2107,12/4/2012,12/6/2012
NH,43,46,NBC News/Marist,rv,1116,11/28/2011,11/30/2011
IA,46,39,NBC News/Marist,rv,1503,11/27/2011,11/29/2011
IA,43,40,NBC News/Marist,rv,2836,10/3/2011,10/5/2011
NH,40,49,NBC News/Marist,rv,2218,10/3/2011,10/5/2011
SC,40,46,NBC News/Marist,rv,2131,10/11/2012,10/13/2012
FL,45,43,NBC News/Marist,rv,2225,10/10/2011,10/12/2011
FL,49,41,NBC News/Marist,rv,1379,1/25/2012,1/27/2012
MI,47,43,NBC News/Marist,rv,1078,6/24/2012,6/25/2012
NC,46,44,NBC News/Marist,rv,1019,6/24/2012,6/25/2012
NH,45,45,NBC News/Marist,rv,1029,6/24/2012,6/25/2012
WI,52,35,NBC News/Marist,rv,1391,3/26/2012,3/27/2012
AZ,40,45,NBC News/Marist,rv,1265,2/19/2012,2/20/2012
MI,51,33,NBC News/Marist,rv,1546,2/19/2012,2/20/2012
US,49,46,NBC News/Wall St. Jrnl,lv,832,9/26/2012,9/30/2012
US,50,45,NBC News/Wall St. Jrnl,lv,736,9/12/2012,9/16/2012
US,48,44,NBC News/Wall St. Jrnl,rv,1000,8/16/2012,8/20/2012
US,49,43,NBC News/Wall St. Jrnl,rv,1000,7/18/2012,7/22/2012
US,47,44,NBC News/Wall St. Jrnl,rv,819,6/20/2012,6/24/2012
US,47,40,NBC News/Wall St. Jrnl,a,1000,12/9/2010,12/13/2010
US,47,47,NBC News/Wall St. Jrnl,lv,816,10/17/2012,10/20/2012
US,48,47,NBC News/Wall St. Jrnl,lv,1475,11/1/2012,11/3/2012
NC,48,46,NBC/WSJ/Marist,lv,1035,9/23/2012,9/25/2012
NH,51,44,NBC/WSJ/Marist,lv,1012,9/23/2012,9/25/2012
NV,49,47,NBC/WSJ/Marist,lv,984,9/23/2012,9/25/2012
CO,50,45,NBC/WSJ/Marist,lv,971,9/16/2012,9/18/2012
IA,50,42,NBC/WSJ/Marist,lv,898,9/16/2012,9/18/2012
WI,50,45,NBC/WSJ/Marist,lv,968,9/16/2012,9/18/2012
FL,49,44,NBC/WSJ/Marist,lv,980,9/9/2012,9/11/2012
OH,50,43,NBC/WSJ/Marist,lv,979,9/9/2012,9/11/2012
VA,49,44,NBC/WSJ/Marist,lv,996,9/9/2012,9/11/2012
FL,49,47,NBC/WSJ/Marist,lv,1545,10/30/2012,11/1/2012
FL,48,47,NBC/WSJ/Marist,lv,988,10/7/2012,10/9/2012
OH,51,45,NBC/WSJ/Marist,lv,994,10/7/2012,10/9/2012
VA,47,48,NBC/WSJ/Marist,lv,981,10/7/2012,10/9/2012
IA,51,43,NBC/WSJ/Marist,lv,1137,10/15/2012,10/17/2012
WI,51,45,NBC/WSJ/Marist,lv,1013,10/15/2012,10/17/2012
VA,48,47,NBC/WSJ/Marist,lv,1165,11/1/2012,11/2/2012
OH,51,45,NBC/WSJ/Marist,lv,971,10/31/2012,11/1/2012
IA,50,44,NBC/WSJ/Marist,lv,1142,10/28/2012,10/29/2012
NH,49,47,NBC/WSJ/Marist,lv,1013,10/28/2012,10/29/2012
WI,49,46,NBC/WSJ/Marist,lv,1065,10/28/2012,10/29/2012
CO,48,48,NBC/WSJ/Marist,lv,1128,10/23/2012,10/24/2012
NV,50,47,NBC/WSJ/Marist,lv,1042,10/23/2012,10/24/2012
FL,47,46,NBC/WSJ/Marist,lv,890,9/30/2012,10/1/2012
OH,51,43,NBC/WSJ/Marist,lv,931,9/30/2012,10/1/2012
VA,48,46,NBC/WSJ/Marist,lv,969,9/30/2012,10/1/2012
NJ,48,41,Neighborhood Research,lv,783,10/10/2012,10/14/2012
NH,50,44,New England College,lv,1017,10/29/2012,10/31/2012
NH,49,46,New England College,lv,571,10/23/2012,10/25/2012
NH,50,46,New England College,lv,687,11/3/2012,11/4/2012
US,49,47,Newsweek/Daily Beast,lv,918,2/12/2011,2/15/2011
US,42,36,Newsweek/Daily Beast,a,600,5/2/2011,5/3/2011
US,44,44,Newsweek/Daily Beast,a,600,4/30/2011,5/1/2011
US,47,44,Newsweek/Daily Beast,lv,600,6/28/2012,6/28/2012
SD,41,53,Nielson Brothers,lv,633,10/31/2012,11/4/2012
MN,47,43,NMB Research/AFF,lv,500,10/7/2012,10/8/2012
MN,45,46,NMB Research/AFF,lv,500,10/30/2012,10/31/2012
US,51,44,NPR,lv,800,9/26/2012,9/30/2012
US,47,45,NPR,lv,1000,7/9/2012,7/12/2012
US,47,48,NPR,lv,1000,10/23/2012,10/25/2012
OH,51,46,Ohio Newspapers/Univ of Cin.,lv,861,9/13/2012,9/18/2012
OH,49,46,Ohio Poll/Univ of Cin.,lv,847,8/16/2012,8/21/2012
OH,48,46,Ohio Poll/Univ of Cin.,lv,1182,10/25/2012,10/30/2012
OH,50,49,Ohio Poll/Univ of Cin.,lv,901,10/31/2012,11/4/2012
VA,50,43,Old Dominion University,lv,465,9/19/2012,10/17/2012
NE,39,53,Omaha World-Herald,lv,656,9/17/2012,9/20/2012
NE,40,54,Omaha World-Herald,lv,679,10/23/2012,10/25/2012
CO,48,44,OnSight/Keating,lv,500,8/21/2012,8/22/2012
ME,51,37,Pan Atlantic SMS,lv,400,9/24/2012,9/28/2012
US,49,42,Pew Research,rv,2388,5/9/2012,6/3/2012
US,48,48,Pew Research,rv,1901,9/22/2011,10/4/2011
US,50,43,Pew Research,rv,2373,6/28/2012,7/9/2012
US,49,45,Pew Research,rv,2373,4/4/2012,4/15/2012
US,51,41,Pew Research,rv,1956,7/16/2012,7/26/2012
US,50,46,Pew Research,rv,1563,6/7/2012,6/17/2012
US,49,47,Pew Research,rv,1576,11/9/2011,11/14/2011
US,50,45,Pew Research,rv,1207,1/11/2012,1/16/2012
US,54,42,Pew Research,rv,1188,3/7/2012,3/11/2012
US,52,44,Pew Research,rv,1172,2/8/2012,2/12/2012
US,47,47,Pew Research,lv,1495,10/24/2012,10/28/2012
US,50,47,Pew Research,lv,2709,10/31/2012,11/3/2012
US,45,49,Pew Research,lv,1112,10/4/2012,10/7/2012
US,51,43,Pew Research/PSRAI,lv,2268,9/12/2012,9/16/2012
NJ,51,40,Philadelphia Inquirer,lv,604,10/4/2012,10/8/2012
PA,50,42,Philadelphia Inquirer,lv,600,10/4/2012,10/8/2012
NJ,51,37,Philadelphia Inquirer,lv,600,9/9/2012,9/12/2012
PA,50,39,Philadelphia Inquirer,lv,600,9/9/2012,9/12/2012
PA,51,42,Philadelphia Inquirer,lv,601,8/21/2012,8/23/2012
NJ,51,41,Philadelphia Inquirer,lv,601,10/23/2012,10/25/2012
PA,49,43,Philadelphia Inquirer,lv,600,10/23/2012,10/25/2012
US,50,47,Politico/GWU/Battleground,lv,1000,9/16/2012,9/20/2012
US,48,47,Politico/GWU/Battleground,lv,1000,8/5/2012,8/9/2012
US,47,48,Politico/GWU/Battleground,lv,1000,4/29/2012,5/3/2012
US,52,40,Politico/GWU/Battleground,lv,1000,5/8/2011,5/12/2011
US,49,48,Politico/GWU/Battleground,lv,1000,10/7/2012,10/11/2012
US,49,47,Politico/GWU/Battleground,lv,1000,9/24/2012,9/27/2012
US,53,43,Politico/GWU/Battleground,lv,1000,2/19/2012,2/22/2012
US,49,43,Politico/GWU/Battleground,lv,1000,11/6/2011,11/9/2011
US,48,48,Politico/GWU/Battleground,lv,1000,10/29/2012,11/1/2012
US,49,48,Politico/GWU/Battleground,lv,1000,10/1/2012,10/4/2012
US,49,48,Politico/GWU/Battleground,lv,1000,10/22/2012,10/25/2012
US,47,49,Politico/GWU/Battleground,lv,1000,10/15/2012,10/18/2012
US,47,47,Politico/GWU/Battleground,lv,1000,11/4/2012,11/5/2012
MO,41,54,Post-Dispatch/Mason-Dixon,lv,625,10/23/2012,10/25/2012
MO,43,50,Post-Dispatch/Mason-Dixon,lv,625,8/22/2012,8/23/2012
MO,42,51,Post-Dispatch/Mason-Dixon,lv,625,7/23/2012,7/25/2012
CA,53,39,PPIC,lv,995,9/9/2012,9/16/2012
CA,53,41,PPIC,lv,993,10/14/2012,10/21/2012
CA,50,39,PPIC,lv,894,5/14/2012,5/20/2012
MD,58,35,PPP,lv,852,5/14/2012,5/21/2012
RI,54,37,PPP,rv,544,2/16/2012,2/22/2012
NH,44,46,PPP,rv,662,6/30/2011,7/5/2011
PA,44,44,PPP,rv,545,6/30/2011,7/5/2011
NC,47,44,PPP,rv,650,2/16/2011,2/21/2011
US,48,40,PPP,rv,638,6/12/2009,6/16/2009
US,53,35,PPP,rv,1000,5/14/2009,5/18/2009
TN,41,48,PPP,rv,500,2/9/2012,2/13/2012
NC,45,46,PPP,rv,615,10/27/2011,10/31/2011
WV,37,49,PPP,lv,708,9/1/2012,9/4/2012
NC,45,44,PPP,rv,520,9/1/2011,9/4/2011
NC,48,48,PPP,lv,981,9/27/2012,9/30/2012
OH,49,45,PPP,lv,897,9/27/2012,9/30/2012
CT,47,45,PPP,rv,592,9/22/2011,9/25/2011
FL,46,45,PPP,rv,476,9/22/2011,9/25/2011
CO,51,45,PPP,lv,940,9/20/2012,9/23/2012
FL,50,46,PPP,lv,861,9/20/2012,9/23/2012
US,48,39,PPP,rv,621,9/18/2009,9/21/2009
AZ,43,50,PPP,rv,617,9/18/2010,9/21/2010
TX,41,47,PPP,rv,569,9/15/2011,9/18/2011
MA,57,39,PPP,lv,876,9/13/2012,9/16/2012
VA,51,46,PPP,lv,1021,9/13/2012,9/16/2012
US,46,43,PPP,rv,590,9/10/2010,9/13/2010
MO,43,47,PPP,rv,632,9/9/2011,9/12/2011
US,49,45,PPP,rv,665,9/8/2011,9/11/2011
US,45,42,PPP,rv,606,8/6/2010,8/9/2010
CO,48,41,PPP,rv,510,8/4/2011,8/7/2011
NC,46,43,PPP,rv,780,8/4/2011,8/7/2011
CO,49,43,PPP,lv,779,8/2/2012,8/5/2012
NC,49,46,PPP,lv,813,8/2/2012,8/5/2012
SC,38,53,PPP,rv,587,8/25/2012,8/28/2012
IA,47,45,PPP,lv,1244,8/23/2012,8/26/2012
NV,50,47,PPP,lv,831,8/23/2012,8/26/2012
US,45,45,PPP,rv,700,8/18/2011,8/21/2011
MA,55,39,PPP,lv,1115,8/16/2012,8/19/2012
VA,50,45,PPP,lv,855,8/16/2012,8/19/2012
WI,47,48,PPP,lv,1308,8/16/2012,8/19/2012
US,47,40,PPP,rv,909,8/14/2009,8/17/2009
OH,45,43,PPP,rv,792,8/11/2011,8/14/2011
NH,51,45,PPP,lv,1055,8/9/2012,8/12/2012
OH,48,45,PPP,lv,961,8/9/2012,8/12/2012
NC,47,46,PPP,rv,775,7/5/2012,7/8/2012
VA,50,42,PPP,rv,647,7/5/2012,7/8/2012
WI,50,44,PPP,rv,1057,7/5/2012,7/8/2012
NV,47,46,PPP,rv,601,7/28/2011,7/31/2011
VT,54,34,PPP,rv,1233,7/28/2011,7/31/2011
CT,51,43,PPP,lv,771,7/26/2012,7/29/2012
FL,48,47,PPP,lv,871,7/26/2012,7/29/2012
MI,47,42,PPP,rv,593,7/21/2011,7/24/2011
VA,47,43,PPP,rv,500,7/21/2011,7/24/2011
NJ,53,39,PPP,rv,480,7/15/2011,7/18/2011
NM,49,44,PPP,rv,724,7/13/2012,7/16/2012
IA,48,43,PPP,rv,1131,7/12/2012,7/15/2012
US,43,46,PPP,rv,667,7/9/2010,7/12/2010
NC,45,45,PPP,rv,651,7/7/2011,7/10/2011
US,45,42,PPP,rv,650,6/4/2010,6/7/2010
MA,57,37,PPP,rv,957,6/2/2011,6/5/2011
SC,41,50,PPP,rv,741,6/2/2012,6/5/2012
FL,50,46,PPP,rv,642,5/31/2012,6/3/2012
MN,54,39,PPP,rv,973,5/31/2012,6/3/2012
NM,49,42,PPP,rv,732,6/23/2011,6/26/2011
OH,47,44,PPP,rv,673,6/21/2012,6/24/2012
OR,50,42,PPP,rv,686,6/21/2012,6/24/2012
FL,47,43,PPP,rv,848,6/16/2011,6/19/2011
MT,41,49,PPP,rv,819,6/16/2011,6/19/2011
CO,49,42,PPP,rv,799,6/14/2012,6/17/2012
WA,54,41,PPP,rv,1073,6/14/2012,6/17/2012
US,47,45,PPP,rv,520,6/9/2011,6/12/2011
NC,45,44,PPP,rv,563,6/8/2011,6/11/2011
NC,46,48,PPP,rv,810,6/7/2012,6/10/2012
NV,48,42,PPP,rv,500,6/7/2012,6/10/2012
US,47,42,PPP,rv,814,5/5/2011,5/8/2011
VA,51,40,PPP,rv,547,5/5/2011,5/8/2011
IA,51,41,PPP,rv,1181,5/3/2012,5/6/2012
OH,50,43,PPP,rv,875,5/3/2012,5/6/2012
IA,49,40,PPP,rv,1387,5/27/2011,5/30/2011
MN,51,36,PPP,rv,1179,5/27/2011,5/30/2011
MI,53,39,PPP,rv,500,5/24/2012,5/27/2012
MO,45,44,PPP,rv,602,5/24/2012,5/27/2012
OH,46,42,PPP,rv,565,5/19/2011,5/22/2011
WI,51,39,PPP,rv,1636,5/19/2011,5/22/2011
AZ,43,50,PPP,rv,500,5/17/2012,5/20/2012
PA,50,42,PPP,rv,671,5/17/2012,5/20/2012
NC,46,43,PPP,rv,835,5/12/2011,5/15/2011
WA,51,40,PPP,rv,1098,5/12/2011,5/15/2011
NC,48,47,PPP,rv,666,5/10/2012,5/13/2012
NH,53,41,PPP,rv,1163,5/10/2012,5/13/2012
AZ,44,48,PPP,rv,623,4/28/2011,5/1/2011
MO,43,45,PPP,rv,555,4/28/2011,5/1/2011
NC,49,44,PPP,rv,975,4/4/2012,4/7/2012
GA,43,46,PPP,rv,790,3/31/2011,4/3/2011
NH,47,46,PPP,rv,769,3/31/2011,4/3/2011
MT,43,48,PPP,rv,934,4/26/2012,4/29/2012
VA,51,43,PPP,rv,680,4/26/2012,4/29/2012
NV,43,46,PPP,rv,491,4/21/2011,4/24/2011
NM,54,40,PPP,rv,526,4/19/2012,4/22/2012
TX,43,50,PPP,rv,591,4/19/2012,4/22/2012
NC,47,44,PPP,rv,507,4/14/2011,4/17/2011
US,49,46,PPP,rv,900,4/12/2012,4/15/2012
FL,50,45,PPP,rv,700,4/12/2012,4/15/2012
US,47,41,PPP,rv,532,4/7/2011,4/10/2011
PA,42,43,PPP,rv,593,4/7/2011,4/10/2011
NV,51,43,PPP,rv,553,3/29/2012,4/1/2012
ME,49,41,PPP,rv,1247,3/3/2011,3/6/2011
MO,43,44,PPP,rv,612,3/3/2011,3/6/2011
FL,46,44,PPP,rv,500,3/24/2011,3/27/2011
MS,40,46,PPP,rv,817,3/24/2012,3/27/2012
NE,39,51,PPP,rv,1028,3/22/2012,3/25/2012
NC,44,42,PPP,rv,584,3/17/2011,3/20/2011
US,47,42,PPP,rv,642,3/10/2011,3/13/2011
OH,46,40,PPP,rv,559,3/10/2011,3/13/2011
NC,49,46,PPP,rv,804,3/8/2012,3/11/2012
PA,49,42,PPP,rv,689,3/8/2012,3/11/2012
VA,48,42,PPP,rv,524,2/24/2011,2/27/2011
WI,48,38,PPP,rv,768,2/24/2011,2/27/2011
WI,53,39,PPP,rv,900,2/23/2012,2/26/2012
WA,53,38,PPP,rv,1264,2/16/2012,2/19/2012
US,46,41,PPP,rv,600,2/11/2011,2/14/2011
US,49,42,PPP,rv,1200,2/9/2012,2/12/2012
US,47,42,PPP,rv,1253,12/4/2009,12/7/2009
MI,47,43,PPP,rv,1224,12/3/2010,12/6/2010
CO,47,45,PPP,rv,793,12/1/2011,12/4/2011
NC,46,46,PPP,rv,865,12/1/2011,12/4/2011
FL,46,44,PPP,rv,1034,12/17/2010,12/20/2010
FL,45,44,PPP,rv,700,11/28/2011,12/1/2011
AZ,42,49,PPP,rv,500,11/17/2011,11/20/2011
PA,45,45,PPP,rv,500,11/17/2011,11/20/2011
MT,39,50,PPP,rv,1176,11/10/2010,11/13/2010
VA,48,43,PPP,rv,551,11/10/2010,11/13/2010
US,46,43,PPP,rv,800,11/10/2011,11/13/2011
CA,57,36,PPP,rv,500,11/10/2011,11/13/2011
MN,53,43,PPP,lv,937,10/5/2012,10/8/2012
VA,50,47,PPP,lv,725,10/4/2012,10/7/2012
ME,49,38,PPP,rv,673,10/28/2011,10/31/2011
NC,46,45,PPP,rv,760,9/30/2011,10/3/2011
NV,46,46,PPP,rv,500,10/20/2011,10/23/2011
WI,46,43,PPP,rv,1170,10/20/2011,10/23/2011
US,48,40,PPP,rv,766,10/16/2009,10/19/2009
HI,59,32,PPP,rv,568,10/13/2011,10/16/2011
OH,46,46,PPP,rv,581,10/13/2011,10/16/2011
US,45,45,PPP,rv,700,10/7/2011,10/10/2011
IA,46,42,PPP,rv,749,10/7/2011,10/10/2011
NJ,52,37,PPP,rv,520,1/6/2011,1/9/2011
NC,46,45,PPP,rv,780,1/5/2012,1/8/2012
NC,47,44,PPP,rv,575,1/20/2011,1/23/2011
WV,37,50,PPP,rv,1105,1/20/2012,1/23/2012
US,49,44,PPP,rv,700,1/13/2012,1/16/2012
TX,42,49,PPP,rv,700,1/12/2012,1/15/2012
AZ,44,53,PPP,lv,993,9/7/2012,9/9/2012
NC,49,48,PPP,lv,1087,9/7/2012,9/9/2012
NM,53,42,PPP,lv,1122,9/7/2012,9/9/2012
OH,50,45,PPP,lv,1072,9/7/2012,9/9/2012
CT,54,41,PPP,lv,801,9/24/2012,9/26/2012
IA,51,44,PPP,lv,754,9/24/2012,9/26/2012
NV,52,43,PPP,lv,501,9/18/2012,9/20/2012
CO,49,46,PPP,lv,1001,8/31/2012,9/2/2012
FL,48,47,PPP,lv,1548,8/31/2012,9/2/2012
MI,51,44,PPP,lv,1001,8/31/2012,9/2/2012
NC,48,48,PPP,lv,1012,8/31/2012,9/2/2012
MA,53,40,PPP,rv,791,9/16/2011,9/18/2011
IA,49,39,PPP,rv,798,8/19/2011,8/21/2011
WI,47,42,PPP,rv,830,8/19/2011,8/21/2011
AZ,41,52,PPP,rv,833,7/23/2012,7/25/2012
MI,53,39,PPP,rv,579,7/21/2012,7/23/2012
PA,49,43,PPP,rv,758,7/21/2012,7/23/2012
US,45,45,PPP,rv,928,7/15/2011,7/17/2011
UT,31,63,PPP,rv,732,7/8/2012,7/10/2012
TX,42,50,PPP,rv,795,6/25/2011,6/27/2011
MA,55,39,PPP,rv,902,6/22/2012,6/24/2012
OR,50,38,PPP,rv,701,6/19/2011,6/21/2011
US,46,44,PPP,rv,707,5/7/2010,5/9/2010
US,49,42,PPP,rv,600,5/23/2011,5/25/2011
CO,53,40,PPP,rv,542,4/5/2012,4/7/2012
US,50,39,PPP,rv,686,4/17/2009,4/19/2009
IA,45,41,PPP,rv,1109,4/15/2011,4/17/2011
US,44,45,PPP,rv,622,4/9/2010,4/11/2010
ME,58,35,PPP,rv,1256,3/2/2012,3/4/2012
MI,48,41,PPP,rv,502,3/18/2011,3/20/2011
MA,58,35,PPP,rv,936,3/16/2012,3/18/2012
US,48,44,PPP,rv,900,3/15/2012,3/17/2012
US,44,44,PPP,rv,1403,3/12/2010,3/14/2010
CO,47,41,PPP,rv,517,2/4/2011,2/6/2011
NM,53,37,PPP,rv,545,2/4/2011,2/6/2011
NC,47,46,PPP,rv,1052,2/3/2012,2/5/2012
AZ,47,47,PPP,rv,743,2/17/2012,2/19/2012
US,45,43,PPP,rv,743,2/13/2010,2/15/2010
MI,54,38,PPP,rv,560,2/10/2012,2/12/2012
NC,46,43,PPP,rv,520,12/17/2010,12/19/2010
US,45,47,PPP,rv,700,12/16/2011,12/18/2011
VA,48,42,PPP,rv,600,12/11/2011,12/13/2011
OH,44,42,PPP,rv,510,12/10/2010,12/12/2010
WI,46,42,PPP,rv,702,12/10/2010,12/12/2010
NM,53,38,PPP,rv,500,12/10/2011,12/12/2011
MA,52,43,PPP,rv,500,11/29/2010,12/1/2010
MO,41,47,PPP,rv,515,11/29/2010,12/1/2010
OH,50,41,PPP,lv,1022,11/4/2011,11/6/2011
MS,36,54,PPP,lv,796,11/4/2012,11/6/2012
MT,40,50,PPP,rv,1625,11/28/2011,11/30/2011
MI,52,46,PPP,lv,700,11/1/2012,11/3/2012
WA,53,46,PPP,lv,932,11/1/2012,11/3/2012
US,47,46,PPP,rv,707,11/19/2010,11/21/2010
NC,44,44,PPP,rv,517,11/19/2010,11/21/2010
US,48,43,PPP,rv,1066,11/13/2009,11/15/2009
WI,49,47,PPP,lv,979,10/4/2012,10/6/2012
NC,49,49,PPP,lv,730,10/29/2012,10/31/2012
AZ,44,53,PPP,lv,595,10/1/2012,10/3/2012
MO,45,51,PPP,lv,700,10/1/2012,10/3/2012
FL,49,48,PPP,lv,687,10/26/2012,10/28/2012
NH,49,47,PPP,lv,874,10/26/2012,10/28/2012
OH,51,47,PPP,lv,718,10/26/2012,10/28/2012
CO,51,47,PPP,lv,904,10/23/2012,10/25/2012
NC,48,48,PPP,lv,880,10/23/2012,10/25/2012
NV,51,47,PPP,lv,636,10/22/2012,10/24/2012
MO,46,52,PPP,lv,582,10/19/2012,10/21/2012
OH,49,48,PPP,lv,532,10/18/2012,10/20/2012
WV,33,54,PPP,lv,932,9/30/2012,10/2/2012
NE,38,51,PPP,rv,739,9/30/2011,10/2/2011
IA,48,49,PPP,lv,869,10/17/2012,10/19/2012
NH,48,49,PPP,lv,1036,10/17/2012,10/19/2012
CO,50,47,PPP,lv,1000,10/16/2012,10/18/2012
FL,48,49,PPP,lv,791,10/12/2012,10/14/2012
NC,47,49,PPP,lv,1084,10/12/2012,10/14/2012
PA,51,44,PPP,lv,500,10/12/2012,10/14/2012
MA,55,41,PPP,lv,1051,10/9/2012,10/11/2012
MT,41,52,PPP,lv,737,10/8/2012,10/10/2012
NV,51,47,PPP,lv,594,10/8/2012,10/10/2012
IA,47,41,PPP,rv,1077,1/7/2011,1/9/2011
NV,47,46,PPP,rv,932,1/3/2011,1/5/2011
PA,46,42,PPP,rv,547,1/3/2011,1/5/2011
AZ,43,49,PPP,rv,599,1/28/2011,1/30/2011
CA,56,36,PPP,rv,892,1/28/2011,1/30/2011
SC,42,49,PPP,rv,1167,1/28/2012,1/30/2012
SD,40,46,PPP,rv,1045,1/28/2012,1/30/2012
MO,45,45,PPP,rv,582,1/27/2012,1/29/2012
US,48,43,PPP,rv,632,1/14/2011,1/16/2011
TX,42,49,PPP,rv,892,1/14/2011,1/16/2011
WI,52,45,PPP,lv,842,9/18/2012,9/19/2012
ME,55,39,PPP,lv,804,9/17/2012,9/18/2012
MN,51,44,PPP,lv,824,9/10/2012,9/11/2012
MT,45,50,PPP,lv,656,9/10/2012,9/11/2012
MO,41,53,PPP,lv,621,8/28/2012,8/29/2012
CT,53,40,PPP,rv,881,8/22/2012,8/23/2012
US,49,40,PPP,rv,577,7/15/2009,7/16/2009
MN,47,42,PPP,rv,949,12/4/2010,12/5/2010
CO,52,46,PPP,lv,1096,11/3/2012,11/4/2012
FL,50,49,PPP,lv,955,11/3/2012,11/4/2012
IA,50,48,PPP,lv,1122,11/3/2012,11/4/2012
NC,49,49,PPP,lv,926,11/3/2012,11/4/2012
NH,50,48,PPP,lv,1550,11/3/2012,11/4/2012
NV,51,47,PPP,lv,750,11/3/2012,11/4/2012
OH,52,47,PPP,lv,1000,11/3/2012,11/4/2012
VA,51,47,PPP,lv,975,11/3/2012,11/4/2012
AZ,46,53,PPP,lv,1080,11/2/2012,11/3/2012
