state,pollster,DEM,GOP,start_date,end_date,sample_size,population
MT,ARG,46,49,10/28/2008,10/30/2008,600,lv
MO,ARG,48,48,10/28/2008,10/30/2008,600,lv
NH,ARG,56,41,10/28/2008,10/30/2008,600,lv
NH,Concord Monitor,51,44,10/28/2008,10/30/2008,600,lv
AK,Research 2000,39,58,10/28/2008,10/30/2008,600,lv
AZ,Research 2000,47,48,10/28/2008,10/30/2008,600,lv
GA,Research 2000,44,47,10/28/2008,10/30/2008,600,lv
MT,Research 2000,44,48,10/28/2008,10/30/2008,600,lv
NC,Research 2000,47,45,10/28/2008,10/30/2008,600,lv
IN,Rasmussen,46,49,10/28/2008,10/29/2008,500,lv
ND,Research 2000,46,47,10/28/2008,10/29/2008,500,lv
CO,Denver Post/Mason-Dixon,49,44,10/28/2008,10/29/2008,625,lv
NV,LVRJ/Mason-Dixon,47,43,10/28/2008,10/29/2008,625,lv
SC,SurveyUSA,44,52,10/28/2008,10/29/2008,654,lv
IA,SurveyUSA,55,40,10/28/2008,10/29/2008,658,lv
WI,SurveyUSA,55,39,10/28/2008,10/29/2008,667,lv
US,FOX News,47,44,10/28/2008,10/29/2008,924,lv
AK,Rasmussen,41,57,10/28/2008,10/28/2008,500,lv
MI,Rasmussen,53,43,10/28/2008,10/28/2008,500,lv
MN,Rasmussen,55,43,10/28/2008,10/28/2008,500,lv
NM,Rasmussen,54,44,10/28/2008,10/28/2008,500,lv
OH,Univ of Cinci/Ohio Poll,52,46,10/29/2008,11/2/2008,1221,lv
PA,Morning Call,52,46,10/29/2008,11/2/2008,617,lv
US,GWU/Battleground,50,44,10/29/2008,11/2/2008,800,lv
US,Pew Research,52,46,10/29/2008,11/1/2008,2587,lv
KY,SurveyUSA,40,56,10/29/2008,11/1/2008,616,lv
FL,ARG,50,46,10/29/2008,10/31/2008,600,lv
PA,ARG,51,45,10/29/2008,10/31/2008,600,lv
CA,SurveyUSA,60,36,10/29/2008,10/31/2008,637,lv
NM,SurveyUSA,52,45,10/29/2008,10/31/2008,664,lv
PA,SurveyUSA,51,44,10/29/2008,10/31/2008,700,lv
NJ,Monmouth/Gannett,55,34,10/29/2008,10/31/2008,801,lv
MN,Star Tribune,53,42,10/29/2008,10/31/2008,933,lv
WV,PPP,42,55,10/29/2008,10/30/2008,2128,lv
FL,Mason-Dixon,49,47,10/29/2008,10/30/2008,625,lv
MO,Mason-Dixon,46,47,10/29/2008,10/30/2008,625,lv
NC,Mason-Dixon,46,49,10/29/2008,10/30/2008,625,lv
OH,Mason-Dixon,45,47,10/29/2008,10/30/2008,625,lv
VA,Mason-Dixon,47,44,10/29/2008,10/30/2008,625,lv
NJ,SurveyUSA,52,42,10/29/2008,10/30/2008,632,lv
NH,SurveyUSA,53,42,10/29/2008,10/30/2008,682,lv
NC,Rasmussen,50,48,10/29/2008,10/29/2008,1000,lv
KY,Rasmussen,43,55,10/29/2008,10/29/2008,500,lv
MT,Rasmussen,46,50,10/29/2008,10/29/2008,500,lv
US,Marist,50,43,10/29/2008,10/29/2008,543,lv
NC,Politico/InAdv,48,48,10/29/2008,10/29/2008,641,lv
MO,Politico/InAdv,47,50,10/29/2008,10/29/2008,814,lv
US,Time,50,44,10/3/2008,10/6/2008,1053,lv
AK,Ivan Moore Res.,38,55,10/3/2008,10/6/2008,500,lv
NV,Reno Gazette-Journal,50,43,10/3/2008,10/6/2008,600,lv
NC,CNN/Time,49,49,10/3/2008,10/6/2008,666,lv
IN,CNN/Time,46,51,10/3/2008,10/6/2008,677,lv
OH,CNN/Time,50,47,10/3/2008,10/6/2008,749,lv
NH,CNN/Time,53,45,10/3/2008,10/6/2008,813,lv
WI,CNN/Time,51,46,10/3/2008,10/6/2008,859,lv
MN,Minn. Pub. Radio,54,40,10/3/2008,10/5/2008,418,lv
VA,Suffolk,51,39,10/3/2008,10/5/2008,600,lv
US,CBS News,48,45,10/3/2008,10/5/2008,616,lv
US,CNN,53,42,10/3/2008,10/5/2008,694,lv
US,CNN,53,45,10/3/2008,10/5/2008,694,lv
OH,ABC News/Wash Post,51,45,10/3/2008,10/5/2008,772,lv
US,Gallup,48,42,10/3/2008,10/5/2008,926,rv
US,ABC News/Wash Post,53,44,10/30/2008,11/2/2008,2470,lv
OH,SurveyUSA,48,46,10/30/2008,11/2/2008,660,lv
WA,SurveyUSA,56,40,10/30/2008,11/2/2008,663,lv
MO,SurveyUSA,48,48,10/30/2008,11/2/2008,674,lv
NC,SurveyUSA,48,49,10/30/2008,11/2/2008,682,lv
GA,SurveyUSA,45,52,10/30/2008,11/2/2008,683,lv
US,Ipsos/McClatchy,53,46,10/30/2008,11/2/2008,760,lv
NH,WMUR/UNH,53,42,10/30/2008,11/2/2008,830,lv
US,Gallup,52,43,10/30/2008,11/1/2008,2475,lv
US,Gallup,51,43,10/30/2008,11/1/2008,2503,lv
MN,SurveyUSA,49,46,10/30/2008,11/1/2008,669,lv
VA,SurveyUSA,50,46,10/30/2008,11/1/2008,672,lv
US,CNN/Opinion Research,53,46,10/30/2008,11/1/2008,714,lv
GA,Rasmussen,47,52,10/30/2008,10/30/2008,500,lv
SD,Rasmussen,44,53,10/30/2008,10/30/2008,500,lv
OR,Rasmussen,54,42,10/30/2008,10/30/2008,500,lv
NH,Rasmussen,51,44,10/30/2008,10/30/2008,700,lv
IN,Reuters/Zogby,45,50,10/31/2008,11/3/2008,585,lv
MO,Reuters/Zogby,49,49,10/31/2008,11/3/2008,585,lv
NC,Reuters/Zogby,49,50,10/31/2008,11/3/2008,585,lv
NV,Reuters/Zogby,53,42,10/31/2008,11/3/2008,586,lv
AK,ARG,43,55,10/31/2008,11/3/2008,600,lv
NV,ARG,52,47,10/31/2008,11/3/2008,600,lv
NC,ARG,49,48,10/31/2008,11/3/2008,600,lv
WV,ARG,42,53,10/31/2008,11/3/2008,600,lv
VA,ARG,51,47,10/31/2008,11/3/2008,600,lv
PA,SurveyUSA,52,43,10/31/2008,11/3/2008,657,lv
FL,Reuters/Zogby,49,48,10/31/2008,11/3/2008,678,lv
PA,Reuters/Zogby,51,41,10/31/2008,11/3/2008,682,lv
OH,Reuters/Zogby,49,47,10/31/2008,11/3/2008,687,lv
VA,Reuters/Zogby,52,45,10/31/2008,11/3/2008,690,lv
FL,SurveyUSA,50,47,10/31/2008,11/3/2008,691,lv
FL,Strategic Vision,49,47,10/31/2008,11/2/2008,1200,lv
OH,Strategic Vision,46,48,10/31/2008,11/2/2008,1200,lv
PA,Strategic Vision,51,44,10/31/2008,11/2/2008,1200,lv
OH,PPP,50,48,10/31/2008,11/2/2008,1208,lv
NV,PPP,51,47,10/31/2008,11/2/2008,1243,lv
GA,PPP,48,50,10/31/2008,11/2/2008,1253,lv
MO,PPP,49,49,10/31/2008,11/2/2008,1343,lv
PA,PPP,53,45,10/31/2008,11/2/2008,1529,lv
VA,PPP,52,46,10/31/2008,11/2/2008,1557,lv
FL,PPP,50,48,10/31/2008,11/2/2008,1717,lv
NC,PPP,50,49,10/31/2008,11/2/2008,2100,lv
US,Gallup,55,44,10/31/2008,11/2/2008,2472,lv
IN,PPP,49,48,10/31/2008,11/2/2008,2634,lv
MT,PPP,48,47,10/31/2008,11/2/2008,2734,lv
US,CBS News,51,42,10/31/2008,11/2/2008,714,lv
GA,Strategic Vision,46,50,10/31/2008,11/2/2008,800,lv
WI,Strategic Vision,53,40,10/31/2008,11/2/2008,800,lv
WA,Strategic Vision,55,40,10/31/2008,11/2/2008,800,lv
US,Diageo/Hotline,50,45,10/31/2008,11/2/2008,887,lv
WV,ARG,50,42,10/4/2008,10/8/2008,600,lv
OH,Ohio Newspaper Poll,46,48,10/4/2008,10/8/2008,876,lv
MN,ARG,47,46,10/4/2008,10/7/2008,600,lv
OH,ARG,48,45,10/4/2008,10/7/2008,600,lv
MO,ARG,46,49,10/4/2008,10/6/2008,600,lv
FL,Mason-Dixon,48,46,10/4/2008,10/6/2008,625,lv
NC,PPP,50,44,10/4/2008,10/5/2008,1202,lv
OH,PPP,49,43,10/4/2008,10/5/2008,1239,lv
NH,SurveyUSA,53,40,10/4/2008,10/5/2008,647,lv
VA,SurveyUSA,53,43,10/4/2008,10/5/2008,666,lv
CA,SurveyUSA,55,39,10/4/2008,10/5/2008,670,lv
US,NBC News/Wall St. Jrnl,49,43,10/4/2008,10/5/2008,658,rv
TX,ARG,38,57,10/5/2008,10/8/2008,600,lv
PA,Marist,53,41,10/5/2008,10/8/2008,757,lv
OH,Marist,49,45,10/5/2008,10/8/2008,771,lv
PA,Strategic Vision,54,40,10/5/2008,10/7/2008,1200,lv
GA,Strategic Vision,43,50,10/5/2008,10/7/2008,800,lv
WI,Research 2000,51,41,10/5/2008,10/6/2008,600,lv
NC,SurveyUSA,46,49,10/5/2008,10/6/2008,617,lv
PA,SurveyUSA,55,40,10/5/2008,10/6/2008,653,lv
WI,SurveyUSA,52,42,10/5/2008,10/6/2008,672,lv
CO,FOX News/Rasmussen,51,45,10/5/2008,10/5/2008,1000,lv
FL,FOX News/Rasmussen,52,45,10/5/2008,10/5/2008,1000,lv
MO,FOX News/Rasmussen,50,47,10/5/2008,10/5/2008,1000,lv
OH,FOX News/Rasmussen,47,48,10/5/2008,10/5/2008,1000,lv
VA,FOX News/Rasmussen,50,48,10/5/2008,10/5/2008,1000,lv
US,Reuters/C-SPAN/Zogby,48,43,10/6/2008,10/9/2008,1200,lv
US,GWU/Battleground,51,43,10/6/2008,10/9/2008,800,lv
FL,Strategic Vision,52,44,10/6/2008,10/8/2008,1200,lv
OH,Strategic Vision,48,46,10/6/2008,10/8/2008,1200,lv
DE,West Chester Univ.,56,38,10/6/2008,10/8/2008,429,lv
MT,ARG,45,50,10/6/2008,10/8/2008,600,lv
NH,ARG,52,43,10/6/2008,10/8/2008,600,lv
NC,Civitas/TelOpinion,48,43,10/6/2008,10/8/2008,600,lv
ND,Forum Poll/MSUM,45,43,10/6/2008,10/8/2008,600,lv
FL,Research 2000,49,44,10/6/2008,10/8/2008,600,lv
NC,WSOC-TV,46,48,10/6/2008,10/7/2008,500,lv
VA,PPP,51,43,10/6/2008,10/7/2008,917,lv
NV,InAdv/PollPosition,49,47,10/6/2008,10/6/2008,468,lv
CO,InAdv/PollPosition,51,45,10/6/2008,10/6/2008,485,lv
AK,Rasmussen,40,55,10/6/2008,10/6/2008,500,lv
PA,Rasmussen,54,41,10/6/2008,10/6/2008,700,lv
WI,Rasmussen,54,44,10/6/2008,10/6/2008,700,lv
US,IBD/TIPP,45,42,10/7/2008,10/13/2008,884,lv
US,Rasmussen,50,45,10/7/2008,10/9/2008,3000,lv
US,Hotline/FD,48,41,10/7/2008,10/9/2008,838,lv
GA,Rasmussen,45,54,10/7/2008,10/7/2008,500,lv
IN,Rasmussen,43,50,10/7/2008,10/7/2008,500,lv
MN,Rasmussen,52,45,10/7/2008,10/7/2008,500,lv
NJ,Rasmussen,50,42,10/7/2008,10/7/2008,500,lv
US,Gallup,51,41,10/7/2008,10/9/2008,2784,rv
US,GWU/Battleground,53,40,10/8/2008,10/13/2008,800,lv
US,Democracy Corps,50,40,10/8/2008,10/12/2008,1000,lv
US,Democracy Corps,51,42,10/8/2008,10/12/2008,1000,lv
MI,Quinnipiac/WSJ/WP,54,38,10/8/2008,10/12/2008,1043,lv
MN,Quinnipiac/WSJ/WP,51,40,10/8/2008,10/12/2008,1043,lv
CO,Quinnipiac/WSJ/WP,52,43,10/8/2008,10/12/2008,1088,lv
WI,Quinnipiac/WSJ/WP,54,37,10/8/2008,10/12/2008,1201,lv
US,ABC News/Wash Post,53,43,10/8/2008,10/11/2008,766,lv
CO,PPP,52,42,10/8/2008,10/10/2008,1331,lv
NV,LVRJ/Mason-Dixon,47,45,10/8/2008,10/9/2008,625,lv
IA,SurveyUSA,54,41,10/8/2008,10/9/2008,692,lv
MI,Rasmussen,56,40,10/8/2008,10/8/2008,500,lv
FL,Rasmussen,50,47,10/8/2008,10/8/2008,700,lv
NC,Rasmussen,49,48,10/8/2008,10/8/2008,700,lv
US,Newsweek,52,41,10/8/2008,10/9/2008,1035,rv
US,FOX News,46,39,10/8/2008,10/9/2008,900,rv
WI,WPR/St. Norbert,51,38,10/9/2008,10/17/2008,400,lv
US,Pew Research,49,42,10/9/2008,10/12/2008,1191,lv
CA,Rasmussen,56,40,10/9/2008,10/9/2008,500,lv
OH,InAdv/PollPosition,49,44,10/9/2008,10/9/2008,509,lv
GA,InAdv/PollPosition,46,49,10/9/2008,10/9/2008,531,lv
OR,Rasmussen,54,43,10/9/2008,10/9/2008,700,lv
US,Ipsos/McClatchy,48,39,10/9/2008,10/13/2008,1036,rv
US,Reuters/C-SPAN/Zogby,54,43,11/1/2008,11/3/2008,1201,lv
US,Rasmussen,52,46,11/1/2008,11/3/2008,3000,lv
US,IBD/TIPP,52,44,11/1/2008,11/3/2008,981,lv
US,NBC News/Wall St. Jrnl,51,43,11/1/2008,11/2/2008,1011,lv
US,FOX News,50,43,11/1/2008,11/2/2008,971,lv
IL,Rasmussen,60,38,11/1/2008,11/1/2008,500,lv
ME,Rasmussen,56,43,11/1/2008,11/1/2008,500,lv
PA,Rasmussen,52,46,11/1/2008,11/1/2008,700,lv
US,Gallup,47,44,11/11/2007,11/14/2007,897,rv
IA,Research 2000,47,37,11/12/2007,11/14/2007,600,lv
US,Rasmussen,46,43,11/16/2007,11/17/2007,800,lv
US,Battleground,52,47,11/2/2008,11/3/2008,800,lv
US,Battleground,50,48,11/2/2008,11/3/2008,800,lv
CO,FOX News/Rasmussen,51,47,11/2/2008,11/2/2008,1000,lv
FL,FOX News/Rasmussen,49,50,11/2/2008,11/2/2008,1000,lv
MO,FOX News/Rasmussen,49,49,11/2/2008,11/2/2008,1000,lv
NC,FOX News/Rasmussen,49,50,11/2/2008,11/2/2008,1000,lv
OH,FOX News/Rasmussen,49,49,11/2/2008,11/2/2008,1000,lv
VA,FOX News/Rasmussen,51,47,11/2/2008,11/2/2008,1000,lv
NJ,Rasmussen,57,42,11/2/2008,11/2/2008,500,lv
GA,InAdv/PollPosition,47,48,11/2/2008,11/2/2008,512,lv
US,Rasmussen,44,44,11/26/2007,11/27/2007,800,lv
MI,Mitchell Research,54,38,11/3/2008,11/3/2008,400,lv
US,Marist,52,43,11/3/2008,11/3/2008,804,lv
FL,St. Petersburg Times,45,47,11/4/2007,11/7/2007,800,rv
US,Rasmussen,39,47,11/6/2006,11/7/2006,1000,lv
NY,SurveyUSA,49,43,11/9/2007,11/11/2007,516,rv
OH,SurveyUSA,37,52,11/9/2007,11/11/2007,533,rv
IA,SurveyUSA,50,42,11/9/2007,11/11/2007,546,rv
NH,Concord Monitor,46,43,12/10/2007,12/12/2007,600,lv
US,Rasmussen,40,46,12/12/2006,12/13/2006,1000,lv
US,Zogby,47,43,12/12/2007,12/14/2007,1000,lv
MA,SurveyUSA,47,45,12/12/2007,12/21/2007,542,rv
NY,SurveyUSA,47,43,12/13/2007,12/15/2007,503,rv
WA,SurveyUSA,50,43,12/13/2007,12/15/2007,513,rv
NM,SurveyUSA,40,51,12/13/2007,12/15/2007,523,rv
KS,SurveyUSA,36,56,12/13/2007,12/15/2007,529,rv
KY,SurveyUSA,35,53,12/13/2007,12/15/2007,534,rv
OR,SurveyUSA,46,44,12/13/2007,12/15/2007,537,rv
IA,SurveyUSA,51,39,12/13/2007,12/15/2007,539,rv
OH,SurveyUSA,38,47,12/13/2007,12/15/2007,539,rv
WI,SurveyUSA,46,44,12/13/2007,12/15/2007,542,rv
VA,SurveyUSA,44,50,12/13/2007,12/15/2007,546,rv
MO,SurveyUSA,47,44,12/13/2007,12/15/2007,547,rv
MN,SurveyUSA,41,50,12/13/2007,12/15/2007,556,rv
US,CNN,43,47,12/15/2006,12/17/2006,1019,a
NH,Research 2000,47,43,12/18/2006,12/20/2006,600,lv
IA,Research 2000,42,39,12/18/2007,12/20/2007,600,lv
US,FOX News,40,44,12/18/2007,12/19/2007,900,rv
US,FOX News,30,49,12/5/2006,12/6/2006,900,rv
US,Newsweek,43,45,12/6/2006,12/7/2006,1000,a
US,Time,48,41,2/1/2008,2/4/2008,958,lv
US,CNN,52,44,2/1/2008,2/3/2008,974,rv
TN,Middle Tn. State U.,36,50,2/11/2008,2/23/2008,585,a
CO,Rasmussen,46,39,2/11/2008,2/11/2008,500,lv
MO,Rasmussen,40,42,2/11/2008,2/11/2008,500,lv
NH,Rasmussen,49,36,2/11/2008,2/11/2008,500,lv
NY,Siena,47,40,2/11/2008,2/14/2008,633,rv
US,Marist,41,44,2/12/2007,2/15/2007,978,rv
US,Quinnipiac,43,43,2/13/2007,2/19/2007,1536,rv
NJ,Quinnipiac,46,39,2/13/2008,2/18/2008,1803,lv
US,Reuters/Zogby,47,40,2/13/2008,2/16/2008,928,lv
OR,Rasmussen,49,40,2/13/2008,2/13/2008,500,lv
PA,Franklin & Marshall,43,44,2/13/2008,2/18/2008,640,rv
PA,Rasmussen,49,39,2/14/2008,2/14/2008,500,lv
US,Hotline/FD,48,40,2/14/2008,2/17/2008,803,rv
CA,SurveyUSA,61,34,2/15/2008,2/17/2008,512,rv
KS,SurveyUSA,44,50,2/15/2008,2/17/2008,514,rv
NY,SurveyUSA,57,36,2/15/2008,2/17/2008,519,rv
OR,SurveyUSA,48,47,2/15/2008,2/17/2008,530,rv
WI,SurveyUSA,52,42,2/15/2008,2/17/2008,537,rv
OH,SurveyUSA,47,44,2/15/2008,2/17/2008,542,rv
VA,SurveyUSA,51,45,2/15/2008,2/17/2008,554,rv
IA,SurveyUSA,51,41,2/15/2008,2/17/2008,563,rv
FL,Rasmussen,37,53,2/16/2008,2/16/2008,500,lv
MN,Rasmussen,53,38,2/16/2008,2/16/2008,500,lv
NM,Rasmussen,44,44,2/17/2008,2/18/2008,500,lv
MI,Rasmussen,47,39,2/17/2008,2/17/2008,500,lv
OH,Rasmussen,41,42,2/17/2008,2/17/2008,500,lv
IA,Rasmussen,44,41,2/18/2008,2/18/2008,500,lv
NJ,Fairleigh Dickinson,43,38,2/18/2008,2/24/2008,795,rv
PA,Keystone Poll,37,43,2/19/2007,2/25/2007,540,rv
VT,Research 2000,57,36,2/19/2008,2/21/2008,400,lv
VA,Rasmussen,44,49,2/19/2008,2/19/2008,500,lv
US,FOX News,47,43,2/19/2008,2/20/2008,900,rv
NJ,Quinnipiac,45,41,2/20/2007,2/25/2007,1302,rv
US,CBS News/NY Times,50,38,2/20/2008,2/24/2008,1115,rv
US,Pew Research,50,43,2/20/2008,2/24/2008,1240,rv
US,USA Today/Gallup,47,48,2/21/2008,2/24/2008,1653,lv
PA,Quinnipiac,42,40,2/21/2008,2/25/2008,1872,rv
AZ,Arizona State,38,49,2/21/2008,2/24/2008,522,rv
FL,Mason-Dixon,37,47,2/21/2008,2/24/2008,625,rv
OH,Ohio Poll/Univ of Cin.,48,47,2/21/2008,2/24/2008,970,rv
US,Zogby,44,40,2/22/2007,2/24/2007,1078,lv
US,AP-Ipsos,51,41,2/22/2008,2/24/2008,755,rv
US,Time,46,42,2/23/2007,2/26/2007,1144,rv
MD,Gonzales Res.,51,37,2/23/2008,3/1/2008,807,lv
NH,Suffolk,42,42,2/24/2007,2/28/2007,500,lv
AK,SurveyUSA,43,48,2/26/2008,2/29/2008,617,rv
ND,SurveyUSA,46,42,2/26/2008,2/28/2008,572,rv
IN,SurveyUSA,41,50,2/26/2008,2/28/2008,575,rv
WY,SurveyUSA,35,54,2/26/2008,2/28/2008,576,rv
AR,SurveyUSA,33,53,2/26/2008,2/28/2008,586,rv
HI,SurveyUSA,61,31,2/26/2008,2/28/2008,592,rv
GA,SurveyUSA,41,54,2/26/2008,2/28/2008,592,rv
NY,SurveyUSA,52,38,2/26/2008,2/28/2008,592,rv
CA,SurveyUSA,51,40,2/26/2008,2/28/2008,593,rv
SC,SurveyUSA,45,48,2/26/2008,2/28/2008,595,rv
WI,SurveyUSA,51,40,2/26/2008,2/28/2008,597,rv
KS,SurveyUSA,41,50,2/26/2008,2/28/2008,598,rv
LA,SurveyUSA,39,54,2/26/2008,2/28/2008,599,rv
OK,SurveyUSA,34,57,2/26/2008,2/28/2008,599,rv
IL,SurveyUSA,60,31,2/26/2008,2/28/2008,600,rv
TX,SurveyUSA,46,47,2/26/2008,2/28/2008,600,rv
NM,SurveyUSA,50,43,2/26/2008,2/28/2008,601,rv
KY,SurveyUSA,33,54,2/26/2008,2/28/2008,605,rv
DE,SurveyUSA,50,41,2/26/2008,2/28/2008,608,rv
ID,SurveyUSA,39,52,2/26/2008,2/28/2008,608,rv
UT,SurveyUSA,39,50,2/26/2008,2/28/2008,608,rv
PA,SurveyUSA,42,47,2/26/2008,2/28/2008,608,rv
MN,SurveyUSA,49,42,2/26/2008,2/28/2008,609,rv
NV,SurveyUSA,46,41,2/26/2008,2/28/2008,611,rv
AZ,SurveyUSA,39,51,2/26/2008,2/28/2008,613,rv
WV,SurveyUSA,35,53,2/26/2008,2/28/2008,617,rv
TN,SurveyUSA,38,54,2/26/2008,2/28/2008,618,rv
IA,SurveyUSA,50,41,2/26/2008,2/28/2008,619,rv
MD,SurveyUSA,53,40,2/26/2008,2/28/2008,620,rv
NE,SurveyUSA,42,45,2/26/2008,2/28/2008,623,rv
VT,SurveyUSA,63,29,2/26/2008,2/28/2008,626,rv
NJ,SurveyUSA,43,43,2/26/2008,2/28/2008,627,rv
RI,SurveyUSA,53,38,2/26/2008,2/28/2008,628,rv
OR,SurveyUSA,49,41,2/26/2008,2/28/2008,628,rv
OH,SurveyUSA,50,40,2/26/2008,2/28/2008,629,rv
VA,SurveyUSA,47,47,2/26/2008,2/28/2008,629,rv
CO,SurveyUSA,50,41,2/26/2008,2/28/2008,630,rv
NC,SurveyUSA,45,47,2/26/2008,2/28/2008,630,rv
FL,SurveyUSA,45,47,2/26/2008,2/28/2008,632,rv
SD,SurveyUSA,43,47,2/26/2008,2/28/2008,632,rv
MO,SurveyUSA,42,48,2/26/2008,2/28/2008,632,rv
WA,SurveyUSA,52,38,2/26/2008,2/28/2008,634,rv
MA,SurveyUSA,49,42,2/26/2008,2/28/2008,636,rv
NH,SurveyUSA,46,44,2/26/2008,2/28/2008,637,rv
ME,SurveyUSA,53,39,2/26/2008,2/28/2008,639,rv
CT,SurveyUSA,55,34,2/26/2008,2/28/2008,640,rv
MT,SurveyUSA,39,47,2/26/2008,2/28/2008,640,rv
MI,SurveyUSA,46,45,2/26/2008,2/28/2008,643,rv
NJ,Rasmussen,43,45,2/27/2008,2/27/2008,500,lv
US,Newsweek,45,43,2/28/2007,3/1/2007,1202,rv
WA,Rasmussen,44,45,2/28/2008,2/28/2008,500,lv
US,Cook/RT Strategies,47,38,2/28/2008,3/2/2008,802,rv
FL,Quinnipiac,39,41,2/6/2008,2/12/2008,1009,lv
PA,Quinnipiac,42,41,2/6/2008,2/12/2008,1419,lv
OH,Quinnipiac,40,42,2/6/2008,2/12/2008,1748,lv
US,Rasmussen,44,44,2/7/2007,2/8/2007,800,lv
US,AP-Ipsos,48,42,2/7/2008,2/10/2008,1029,a
OR,Riley Research,46,38,2/7/2008,2/18/2008,401,lv
US,USA Today/Gallup,50,46,2/8/2008,2/10/2008,706,lv
US,USA Today/Gallup,48,48,2/9/2007,2/11/2007,936,rv
PA,Morning Call,39,42,2/9/2008,2/17/2008,588,rv
MI,Rasmussen,41,44,3/10/2008,3/10/2008,500,lv
PA,Rasmussen,43,44,3/10/2008,3/10/2008,500,lv
CA,PPIC,49,40,3/11/2008,3/18/2008,1077,lv
CT,Rasmussen,50,38,3/11/2008,3/11/2008,500,lv
NY,Rasmussen,51,38,3/11/2008,3/11/2008,500,lv
CA,Rasmussen,53,38,3/12/2008,3/12/2008,500,lv
FL,Rasmussen,43,47,3/12/2008,3/12/2008,500,lv
US,Zogby,39,44,3/13/2008,3/14/2008,1001,lv
US,Reuters/Zogby,40,46,3/13/2008,3/14/2008,1004,lv
OH,Rasmussen,40,46,3/13/2008,3/13/2008,500,lv
US,Rasmussen,44,44,3/14/2007,3/15/2007,800,lv
US,USA Today/Gallup,49,47,3/14/2008,3/15/2008,685,lv
CA,SurveyUSA,54,40,3/14/2008,3/16/2008,489,rv
MA,SurveyUSA,47,47,3/14/2008,3/16/2008,510,rv
WI,SurveyUSA,48,44,3/14/2008,3/16/2008,528,rv
OH,SurveyUSA,43,50,3/14/2008,3/16/2008,532,rv
KY,SurveyUSA,28,64,3/14/2008,3/16/2008,535,rv
MO,SurveyUSA,39,53,3/14/2008,3/16/2008,536,rv
US,CNN,47,46,3/14/2008,3/16/2008,950,rv
OH,PPP,41,49,3/15/2008,3/17/2008,629,lv
FL,PPP,39,50,3/15/2008,3/16/2008,618,lv
NH,Rasmussen,43,46,3/16/2008,3/16/2008,500,lv
NY,Quinnipiac,49,38,3/16/2008,3/18/2008,1528,rv
CO,Rasmussen,46,46,3/17/2008,3/17/2008,500,lv
AR,Rasmussen,30,59,3/18/2008,3/18/2008,500,lv
MA,Rasmussen,49,42,3/18/2008,3/18/2008,500,lv
WA,Elway Poll,45,39,3/18/2008,3/20/2008,405,rv
US,FOX News,43,44,3/18/2008,3/19/2008,900,rv
MN,Rasmussen,47,43,3/19/2008,3/19/2008,500,lv
NV,Rasmussen,45,41,3/19/2008,3/19/2008,500,lv
CT,Quinnipiac,52,35,3/19/2008,3/24/2008,1697,rv
US,Pew Research,49,43,3/19/2008,3/22/2008,1248,rv
US,American Res. Group,42,46,3/2/2007,3/5/2007,2104,lv
GA,Rasmussen,40,53,3/20/2008,3/20/2008,500,lv
NC,Rasmussen,42,51,3/20/2008,3/20/2008,500,lv
US,Time,43,45,3/23/2007,3/26/2007,1102,rv
MO,Rasmussen,38,53,3/24/2008,3/24/2008,500,lv
ND,Dakota Wesleyan,38,44,3/24/2008,4/3/2008,260,rv
SD,Dakota Wesleyan,34,51,3/24/2008,4/3/2008,267,rv
FL,Quinnipiac,37,46,3/24/2008,3/31/2008,1136,rv
OH,Quinnipiac,43,42,3/24/2008,3/31/2008,1238,rv
PA,Quinnipiac,43,39,3/24/2008,3/31/2008,3484,rv
NJ,Fairleigh Dickinson,47,42,3/24/2008,3/30/2008,800,rv
US,NBC/WSJ,44,42,3/24/2008,3/25/2008,800,rv
WI,WPRI,46,42,3/25/2008,4/5/2008,400,a
MI,Rasmussen,42,43,3/25/2008,3/25/2008,500,lv
LA,S. Media/Op. Research,35,51,3/26/2008,4/9/2008,600,lv
OR,Rasmussen,48,42,3/26/2008,3/26/2008,500,lv
WI,Rasmussen,46,48,3/26/2008,3/26/2008,500,lv
US,Rasmussen,42,47,3/27/2008,3/30/2008,1600,lv
NJ,Rasmussen,45,46,3/27/2008,3/27/2008,500,lv
WA,Rasmussen,48,43,3/27/2008,3/27/2008,500,lv
VA,Rasmussen,41,52,3/27/2008,3/27/2008,500,lv
PA,Temple Univ.,47,40,3/27/2008,4/9/2008,1175,rv
PA,Strategic Vision,42,47,3/28/2008,3/31/2008,1200,lv
US,CBS News/NY Times,47,42,3/28/2008,4/2/2008,1196,rv
US,Hotline/FD,41,45,3/28/2008,3/31/2008,799,rv
US,Hotline/FD,44,46,3/28/2008,3/31/2008,799,rv
AZ,N. Ariz. Univ.,33,55,3/30/2008,4/8/2008,369,lv
IA,Rasmussen,46,42,3/31/2008,3/31/2008,500,lv
SD,Rasmussen,38,48,3/4/2008,3/4/2008,500,lv
PA,Susquehanna,41,45,3/5/2008,3/10/2008,700,rv
TN,Ayres McHenry,36,53,3/5/2008,3/9/2008,600,rv
US,Newsweek,46,45,3/5/2008,3/6/2008,1215,rv
AR,UCA,27,43,3/6/2008,3/11/2008,500,rv
US,Cook/RT Strategies,43,45,3/6/2008,3/9/2008,802,rv
NV,Research 2000,42,43,3/6/2008,3/8/2008,600,rv
